"id","score"
133,"below"
88,"above"
12,"below"
63,"below"
50,"above"
52,"above"
7,"below"
27,"below"
122,"above"
58,"below"
104,"above"
46,"above"
132,"above"
62,"above"
113,"above"
45,"below"
87,"above"
81,"above"
35,"above"
115,"below"
32,"below"
33,"below"
20,"above"
103,"above"
5,"above"
79,"above"
107,"below"
22,"above"
9,"above"
94,"above"
64,"below"
0,"below"
112,"above"
48,"above"
71,"above"
123,"below"
26,"above"
96,"above"
100,"below"
73,"above"
129,"above"
80,"above"
111,"below"
51,"above"
6,"above"
90,"above"
37,"below"
19,"above"
57,"below"
108,"below"
40,"above"
85,"above"
59,"above"
117,"below"
4,"above"
95,"below"
121,"above"
72,"below"
55,"above"
110,"above"
38,"above"
105,"above"
76,"above"
17,"above"
21,"below"
70,"below"
119,"below"
130,"above"
97,"above"
30,"below"
39,"above"
114,"below"
82,"above"
126,"above"
61,"below"
109,"below"
43,"below"
41,"above"
99,"above"
65,"above"
14,"above"
92,"below"
54,"above"
128,"above"
83,"above"
56,"above"
118,"above"
66,"above"
3,"above"
16,"below"
120,"above"
131,"above"
127,"below"
2,"above"
93,"above"
124,"below"
34,"above"
69,"above"
13,"below"
89,"below"
106,"above"
11,"below"
77,"above"
74,"above"
29,"below"
25,"below"
116,"above"
84,"below"
24,"below"
15,"above"
28,"above"
23,"above"
53,"above"
78,"above"
60,"below"
49,"below"
44,"below"
10,"above"
101,"below"
68,"above"
98,"above"
18,"below"
1,"below"
125,"below"
75,"above"
86,"below"
36,"above"
8,"above"
42,"below"
47,"above"
67,"below"
102,"above"
31,"above"
91,"above"
